sample-id,absolute-filepath,direction
P75,$PWD/fastq/P75_S50_L001_R2_001.fastq.gz,reverse
P76,$PWD/fastq/P76_S42_L001_R1_001.fastq.gz,forward
P76,$PWD/fastq/P76_S42_L001_R2_001.fastq.gz,reverse
P77,$PWD/fastq/P77_S34_L001_R1_001.fastq.gz,forward
P77,$PWD/fastq/P77_S34_L001_R2_001.fastq.gz,reverse
P78,$PWD/fastq/P78_S26_L001_R1_001.fastq.gz,forward
P78,$PWD/fastq/P78_S26_L001_R2_001.fastq.gz,reverse
P79,$PWD/fastq/P79_S18_L001_R1_001.fastq.gz,forward
P79,$PWD/fastq/P79_S18_L001_R2_001.fastq.gz,reverse
P7,$PWD/fastq/P7_S48_L001_R1_001.fastq.gz,forward
P7,$PWD/fastq/P7_S48_L001_R2_001.fastq.gz,reverse
